id,name,mimeType,size,modifiedTime,path,parent,type,subtype,title,extension
15WbZHuFUhe79g-cm7sQp-0v5EZSH0NMQ,E2X93900_Draft 60% Review Set_2023.01.20.pdf,application/pdf,12869342,2025-11-19T18:58:43.000Z,MPA/Engineering Documents/2023 Reefer Yard Relocation,2023 Reefer Yard Relocation,application,pdf,E2X93900_Draft 60% Review Set_2023.01.20,pdf
1kPD2Jg3TSk1mfqYGqVozfVUqvEZvZvBJ,E2X93900_60% Drawings_20230224.pdf,application/pdf,12652508,2025-11-19T18:58:43.000Z,MPA/Engineering Documents/2023 Reefer Yard Relocation,2023 Reefer Yard Relocation,application,pdf,E2X93900_60% Drawings_20230224,pdf
1gI7VVGbaQjP-6T0xB-OWOdwW6Ae2FCxT,Image C08 site plan.tif,image/tiff,1209995,2025-11-19T18:58:47.000Z,MPA/Engineering Documents/AS BUILTS - USE THIS FOLDER/IMT H2O SEWER Asbuilts C-08,IMT H2O SEWER Asbuilts C-08,image,tiff,Image C08 site plan,tif
16gh23fs6ID6WSIxk4nrkbJO-1CM_a0HZ,IMT AsBuilts H2O and Sanitary.pdf,application/pdf,4843831,2025-11-19T18:58:47.000Z,MPA/Engineering Documents/AS BUILTS - USE THIS FOLDER/IMT H2O SEWER Asbuilts C-08,IMT H2O SEWER Asbuilts C-08,application,pdf,IMT AsBuilts H2O and Sanitary,pdf
1E7TYkQjsML1ckSFMJE-oThzGYtBhI7uH,IMT AsBuilts H2O and Sanitary.bak,application/octet-stream,7165614,2025-11-19T18:58:47.000Z,MPA/Engineering Documents/AS BUILTS - USE THIS FOLDER/IMT H2O SEWER Asbuilts C-08,IMT H2O SEWER Asbuilts C-08,application,octet-stream,IMT AsBuilts H2O and Sanitary,bak
1dJST5hK9G_4QjAoxy2X6fWIg445SI-fF,IMT AsBuilts H2O and Sanitary.ini,application/octet-stream,34,2025-11-19T18:58:47.000Z,MPA/Engineering Documents/AS BUILTS - USE THIS FOLDER/IMT H2O SEWER Asbuilts C-08,IMT H2O SEWER Asbuilts C-08,application,octet-stream,IMT AsBuilts H2O and Sanitary,ini
1INTRSX59xNSczsQWpZ7zAsCBXauCQIIG,H2O and Sanitary Asbuilt Points.csv,text/csv,3623,2025-11-19T18:58:47.000Z,MPA/Engineering Documents/AS BUILTS - USE THIS FOLDER/IMT H2O SEWER Asbuilts C-08,IMT H2O SEWER Asbuilts C-08,text,csv,H2O and Sanitary Asbuilt Points,csv
1RnnmegRZIrUbrKpsgjtkkJ8OiU5bu4xm,IMT AsBuilts H2O and Sanitary.dwg,image/vnd.dwg,7493239,2025-11-19T18:58:47.000Z,MPA/Engineering Documents/AS BUILTS - USE THIS FOLDER/IMT H2O SEWER Asbuilts C-08,IMT H2O SEWER Asbuilts C-08,image,vnd.dwg,IMT AsBuilts H2O and Sanitary,dwg
1kNv8fTffolaPOklDiOXW31DhDn4mdh6n,Shaw Brothers logo 1x1.jpg,image/jpeg,18601,2025-11-19T18:58:47.000Z,MPA/Engineering Documents/AS BUILTS - USE THIS FOLDER/IMT H2O SEWER Asbuilts C-08,IMT H2O SEWER Asbuilts C-08,image,jpeg,Shaw Brothers logo 1x1,jpg
1TRI-GgGQOKSIw_uiyJyPc85SHN6l-jGW,sbc IMT GAS Asbuilts.pdf,application/pdf,4873136,2025-11-19T18:58:47.000Z,MPA/Engineering Documents/AS BUILTS - USE THIS FOLDER/IMT GAS Asbuilts C-08,IMT GAS Asbuilts C-08,application,pdf,sbc IMT GAS Asbuilts,pdf
